VendorID    PurchaseOrderID OrderDate               totaldue              Freight               taxamt                Rannk
----------- --------------- ----------------------- --------------------- --------------------- --------------------- --------------------
1492        325             2013-04-25 00:00:00.000 1654.7486             37.4378               119.8008              1
1492        1727            2014-01-16 00:00:00.000 855.2203              19.3489               61.9164               2
1492        2517            2014-04-07 00:00:00.000 855.2203              19.3489               61.9164               3
1494        1879            2014-02-04 00:00:00.000 9776.2665             221.1825              707.784               1
1494        1958            2014-02-11 00:00:00.000 9776.2665             221.1825              707.784               2
1494        1800            2014-01-23 00:00:00.000 9776.2665             221.1825              707.784               3
1496        925             2013-09-17 00:00:00.000 2286.5395             51.7317               165.5413              1
1496        1325            2013-12-04 00:00:00.000 2286.5395             51.7317               165.5413              2
1496        397             2013-06-25 00:00:00.000 927.968               20.9948               67.1832               3
1498        2185            2014-03-04 00:00:00.000 29233.0789            661.3819              2116.422              1
1498        2106            2014-02-26 00:00:00.000 29233.0789            661.3819              2116.422              2
1498        2027            2014-02-19 00:00:00.000 29233.0789            661.3819              2116.422              3
1500        3590            2014-07-07 00:00:00.000 462.9398              10.4738               33.516                1
1500        3511            2014-06-30 00:00:00.000 462.9398              10.4738               33.516                2
1500        3432            2014-06-24 00:00:00.000 462.9398              10.4738               33.516                3
1504        2133            2014-02-27 00:00:00.000 609.8274              13.797                44.1504               1
1504        2212            2014-03-05 00:00:00.000 609.8274              13.797                44.1504               2
1504        2054            2014-02-20 00:00:00.000 609.8274              13.797                44.1504               3
1506        3573            2014-07-04 00:00:00.000 48485.6873            1096.9613             3510.276              1
1506        3652            2014-07-11 00:00:00.000 48485.6873            1096.9613             3510.276              2
1506        3494            2014-06-28 00:00:00.000 48485.6873            1096.9613             3510.276              3
1508        2136            2014-02-27 00:00:00.000 41230.0639            932.8069              2984.982              1
1508        2215            2014-03-05 00:00:00.000 41230.0639            932.8069              2984.982              2
1508        2057            2014-02-21 00:00:00.000 41230.0639            932.8069              2984.982              3
1510        3974            2014-08-02 00:00:00.000 158.0608              3.576                 11.4433               1
1510        3895            2014-07-28 00:00:00.000 158.0608              3.576                 11.4433               2
1510        3816            2014-07-23 00:00:00.000 158.0608              3.576                 11.4433               3
1514        1236            2013-11-22 00:00:00.000 2214.0703             50.0921               160.2947              1
1514        1157            2013-11-12 00:00:00.000 2214.0703             50.0921               160.2947              2
1514        1315            2013-12-02 00:00:00.000 2214.0703             50.0921               160.2947              3
1516        3730            2014-07-17 00:00:00.000 502.6203              11.3715               36.3888               1
1516        3888            2014-07-27 00:00:00.000 502.6203              11.3715               36.3888               2
